DSMUID,MackConfig,SVID,WNsf,TOWsf,Section 0-index,Mack bits
STEP0,0,6,1018,432121,0,B6194A00791A009B61800A070700F7D97E5CAB1BEBDA63D49A05F5CDEC36
STEP0,0,6,1018,432121,1,95D060042F050044E1600E78110076193C7FA994EB74B7DD59A5D323B503
STEP0,0,7,1018,432121,0,69514F0CA50600EFA0800BBC180058C28EF94AB04F33091DD2B13AA58280
STEP0,0,7,1018,432121,1,D070700BF00E00F460D008D60F001B5B5AB878A255A9CAD99BBC2085738D
STEP0,0,8,1018,432121,0,EA9B9301320D00C590100DE00700A6319BEA5CE76614AD42A31A0A67E0D1
STEP0,0,8,1018,432121,1,20208002730F00FBC190092A0C00B9223B7B5516D2E24931B9AE69CACF16
STEP0,0,9,1018,432121,0,1FFBC5023F0A00B341000FD90500C33DB624466F3EDA1A88B5B6AA974677
STEP0,0,9,1018,432121,1,3830900627150028703000C216003959B3F2414EBBAD919B5F3683FF06C9
STEP0,0,10,1018,432121,0,418DB60F2505002710B00C1209009EDD996FF1597D825B37C0D37852FA14
STEP0,0,10,1018,432121,1,1810A007EE0300EA51A00BBB1B003E19FBF880113DB218F3F50FC22AA96F
STEP0,0,11,1018,432121,0,0A12ED08091100F6812009380C00995DDB48733D9A02D5004387FAB0CE1B
STEP0,0,11,1018,432121,1,CC60B0013D0A00DAA04003E10500D6A36093FD6214ED0C791A2472872CA1
STEP0,0,12,1018,432121,0,181520071011004F6120000E0B00BAD79D91B6C09531A75C737D5B1050CF
STEP0,0,12,1018,432121,1,6B70C00C720D0078F180042F1300E76F6C8A4F1A4131775CD3057021AA3C
STEP0,0,13,1018,432121,0,499DE10D6B0C00CC80E0022901000BA03F8BBE9EFFA75849D68A41D406E8
STEP0,0,13,1018,432121,1,14C0D00C4E11006CA0700D3D12005CCAE791BE2DC6B067A3ADE900B7445E
STEP0,0,14,1018,432121,0,DF072500060100A5A0F007580D00558E833EC80E4B68ABDEF1C8BFAA1584
STEP0,0,14,1018,432121,1,26A0E002980700E171900F6D16003C44358A52546ACD3178C0F2AECA420F
STEP0,0,15,1018,432121,0,15B57F02D016005540E00EFF1000B2031812155EA10E3344AA54B9C8A3F8
STEP0,0,15,1018,432121,1,0B30F00ACE080014F0100CC40700E396071424482EE3EC53F3A717EC4617
STEP0,0,16,1018,432121,0,CEDDA4056916004A40F007F70900DE7FDC30D13FD1B27404A4CFD5454ABA
STEP0,0,16,1018,432121,1,B2D100049614008A61700D1A0400181EDE97A49778CC34A6E2AE5B068BA1
STEP0,0,17,1018,432121,0,FBB32C06FA1B00FF70B007D11800D1C552B25FACB5D40552A89FC336E63C
STEP0,0,17,1018,432121,1,9BE1100140120086F0D0076F0600BC87D51B434674E5806F883F07FE4D58
STEP0,0,18,1018,432121,0,D249A10BC50C0012C0B008B111009D0D4BA5A0EE5A3CDF469E220DBC4171
STEP0,0,18,1018,432121,1,B7D1200AD3130004C0D00B050200FAF3ABFA23D45936CC7F599432C58BC1
STEP0,0,19,1018,432121,0,C15196024C190077E0300C111400AFA467435F4E4FB706CBABC0DFD61735
STEP0,0,19,1018,432121,1,4DD13009381200BD20100A741B00D9B434B4B3796CC17140E2C9EDE7D2EF
STEP0,0,20,1018,432121,0,E2E44D096919006D11300AB3150076D37E3D73F5EFE2F6F402CAC2CD5F9D
STEP0,0,20,1018,432121,1,83E14000CA030026101003FC1000D981ECC63A07EF0B3CE4F422B1A23966
STEP0,0,21,1018,432121,0,53B37205C00F00AA916004A6140017EB38636C2B966D1D5B9C825C9F1672
STEP0,0,21,1018,432121,1,02E1500BDE090044502006BF1900C08BFBB9A2480517A27075033D117430
STEP0,0,22,1018,432121,0,5608A2073A0F0018F1500E671700379E266B633962496970577D940CD9BB
