DSMUID,MackConfig,SVID,WNsf,TOWsf,Section 0-index,Mack bits
CIDKR0_DAY0_OP_NOM,0,17,1018,432091,0,7C879E9031B51B0002B00B004ECD18006A81F20DF4DB29DDEC3EBDA0858B
CIDKR0_DAY0_OP_NOM,0,17,1018,432091,1,C33E120042FF0D0080E80600ECDF1A00E489A401849442AA4CEDA6AB69FC
CIDKR0_DAY0_OP_NOM,0,18,1018,432091,0,889798B001470C00D11A0B002368110074165019646DBC23DDC2D10257DB
CIDKR0_DAY0_OP_NOM,0,18,1018,432091,1,28531300B5D20D000ACC0200D91B1900E2235DC2D278086E8B751F318802
CIDKR0_DAY0_OP_NOM,0,19,1018,432091,0,A2DCC1F097C219005F2C0300C6EA1400FE3DAD94A7C7671DAE8F698BD07D
CIDKR0_DAY0_OP_NOM,0,19,1018,432091,1,5B411200F080010079E71B0090AB0C007DDFB84076E84DBD52456E82E0DF
CIDKR0_DAY0_OP_NOM,0,20,1018,432091,0,A016B7B008D4190004CC13006F151500690CECA73D976FDCC88227335794
CIDKR0_DAY0_OP_NOM,0,20,1018,432091,1,FCAD030041950100702710000B8C0F0024A993A6844F9B640DAACC825922
CIDKR0_DAY0_OP_NOM,0,21,1018,432091,0,DCA4F26030020F00C91316003B6C1400920767BF22F06EB8DD21D53273D8
CIDKR0_DAY0_OP_NOM,0,21,1018,432091,1,0D8E0900B910020060071900D7F40300685DFC26FD69195AEB8B9C6C1B82
CIDKR0_DAY0_OP_NOM,0,22,1018,432091,0,F24777D0C5470F0053101500030617003298925595E36915ECE8ED74CE58
CIDKR0_DAY0_OP_NOM,0,22,1018,432091,1,C375090049EC06009B2D1A00BEE10700B8B0F26983AD760117BAE7D57A8D
CIDKR0_DAY0_OP_NOM,0,23,1018,432091,0,AF8AE9108F1D1A009555070010FA1800E9636A551FFD992B16EDEC3A8F5C
CIDKR0_DAY0_OP_NOM,0,23,1018,432091,1,10E21600AD830500726C10003F650F00B2D2C04D1BFCDF22EEBAE867C228
CIDKR0_DAY0_OP_NOM,0,24,1018,432091,0,C83FE19041141A00295F1100265F1700DB18145F675F3AEBC4D12DF11A28
